tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:275:19:09:14.857	2009:275:19:12:15.206	10564	75624	6	6	1	0	118.00	72.07
2009:275:19:12:15.206	2009:275:19:12:19.206	10564	75624	6	6	1	0	118.00	72.07
2009:275:19:12:19.206	2009:275:19:12:23.206	10564	75624	6	6	1	0	118.00	72.07
2009:275:19:12:23.206	2009:275:19:12:47.206	10564	75624	0	0	1	0	40.00	72.07
2009:275:19:12:47.206	2009:275:19:13:54.206	10564	75624	2	2	1	0	69.00	72.07
2009:275:19:13:54.206	2009:275:19:13:54.857	10564	75624	2	2	1	1	72.00	72.07
2009:275:19:13:54.857	2009:275:19:18:34.857	10564	75624	2	2	1	1	72.00	85.53
2009:275:19:18:34.857	2009:275:19:23:14.857	10564	75624	2	2	1	1	72.00	105.97
2009:275:19:23:14.857	2009:275:19:27:54.857	10564	75624	2	2	1	1	72.00	126.00
2009:275:19:27:54.857	2009:275:19:31:55.551	10564	75624	2	2	1	1	72.00	138.13
2009:275:19:31:55.551	2009:275:21:01:55.551	10564	75624	2	2	1	1	72.00	140.89
2009:275:21:01:55.551	2009:275:22:22:55.296	10564	75624	2	2	1	1	72.00	140.91
2009:275:22:22:55.296	2009:275:22:23:05.547	10564	72440	2	2	1	0	69.00	140.91
2009:275:22:23:05.547	2009:275:22:25:55.296	10564	72440	2	2	1	0	69.00	140.93
2009:275:22:25:55.296	2009:275:22:27:55.547	10405	72440	2	2	1	0	69.00	140.93
2009:275:22:27:55.547	2009:275:22:30:45.896	10405	72440	2	2	1	0	69.00	141.05
2009:275:22:30:45.896	2009:275:22:30:49.896	10405	72440	2	2	1	0	69.00	141.05
2009:275:22:30:49.896	2009:275:22:30:53.896	10405	72440	2	2	1	0	69.00	141.05
2009:275:22:30:53.896	2009:275:22:31:17.896	10405	72440	0	0	1	0	40.00	141.05
2009:275:22:31:17.896	2009:275:22:32:24.896	10405	72440	6	6	1	0	118.00	141.05
2009:275:22:32:24.896	2009:275:22:32:45.547	10405	72440	6	6	1	1	129.00	141.05
2009:275:22:32:45.547	2009:275:22:37:35.547	10405	72440	6	6	1	1	129.00	141.55
2009:275:22:37:35.547	2009:275:22:42:25.547	10405	72440	6	6	1	1	129.00	142.53
2009:275:22:42:25.547	2009:275:22:47:15.547	10405	72440	6	6	1	1	129.00	143.69
2009:275:22:47:15.547	2009:275:22:52:05.547	10405	72440	6	6	1	1	129.00	144.88
2009:275:22:52:05.547	2009:275:22:56:55.547	10405	72440	6	6	1	1	129.00	145.89
2009:275:22:56:55.547	2009:275:23:01:13.191	10405	72440	6	6	1	1	129.00	146.38
2009:275:23:01:13.191	2009:276:01:21:13.191	10405	72440	6	6	1	1	129.00	146.48
2009:276:01:21:13.191	2009:276:03:41:13.191	10405	72440	6	6	1	1	129.00	146.38
2009:276:03:41:13.191	2009:276:06:01:13.191	10405	72440	6	6	1	1	129.00	146.29
2009:276:06:01:13.191	2009:276:08:21:13.191	10405	72440	6	6	1	1	129.00	146.20
2009:276:08:21:13.191	2009:276:10:41:13.191	10405	72440	6	6	1	1	129.00	146.11
2009:276:10:41:13.191	2009:276:13:01:13.191	10405	72440	6	6	1	1	129.00	146.01
2009:276:13:01:13.191	2009:276:15:21:13.191	10405	72440	6	6	1	1	129.00	145.92
2009:276:15:21:13.191	2009:276:17:41:13.191	10405	72440	6	6	1	1	129.00	145.83
2009:276:17:41:13.191	2009:276:20:01:13.191	10405	72440	6	6	1	1	129.00	145.73
2009:276:20:01:13.191	2009:276:22:13:08.936	10405	72440	6	6	1	1	129.00	145.64
2009:276:22:13:08.936	2009:276:22:13:19.187	10405	75624	6	6	1	0	118.00	145.64
2009:276:22:13:19.187	2009:276:22:16:08.936	10405	75624	6	6	1	0	118.00	145.55
2009:276:22:16:08.936	2009:276:22:18:09.187	10357	75624	6	6	1	0	118.00	145.55
2009:276:22:18:09.187	2009:276:22:20:59.536	10357	75624	6	6	1	0	118.00	142.36
2009:276:22:20:59.536	2009:276:22:21:03.536	10357	75624	6	6	1	0	118.00	142.36
2009:276:22:21:03.536	2009:276:22:21:07.536	10357	75624	6	6	1	0	118.00	142.36
2009:276:22:21:07.536	2009:276:22:21:31.536	10357	75624	0	0	1	0	40.00	142.36
2009:276:22:21:31.536	2009:276:22:22:38.536	10357	75624	6	6	1	0	118.00	142.36
2009:276:22:22:38.536	2009:276:22:22:59.187	10357	75624	6	6	1	1	129.00	142.36
2009:276:22:22:59.187	2009:276:22:27:49.187	10357	75624	6	6	1	1	129.00	130.54
2009:276:22:27:49.187	2009:276:22:32:39.187	10357	75624	6	6	1	1	129.00	112.14
2009:276:22:32:39.187	2009:276:22:37:29.187	10357	75624	6	6	1	1	129.00	93.40
2009:276:22:37:29.187	2009:276:22:42:19.187	10357	75624	6	6	1	1	129.00	75.47
2009:276:22:42:19.187	2009:276:22:46:49.023	10357	75624	6	6	1	1	129.00	64.47
2009:276:22:46:49.023	2009:277:01:04:28.768	10357	75624	6	6	1	1	129.00	61.77
2009:277:01:04:28.768	2009:277:01:04:39.019	10357	92904	6	6	1	0	118.00	61.77
2009:277:01:04:39.019	2009:277:01:07:28.768	10357	92904	6	6	1	0	118.00	61.74
2009:277:01:07:28.768	2009:277:01:07:32.768	10273	92904	6	6	1	0	118.00	61.74
2009:277:01:07:32.768	2009:277:01:07:36.768	10273	92904	6	6	1	0	118.00	61.74
