tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:001:11:56:44.546	2009:001:12:01:24.546	10415	90519	5	5	1	1	113.90	154.08
2009:001:12:01:24.546	2009:001:12:06:04.546	10415	90519	5	5	1	1	113.90	153.78
2009:001:12:06:04.546	2009:001:12:10:44.546	10415	90519	5	5	1	1	113.90	153.33
2009:001:12:10:44.546	2009:001:12:14:33.339	10415	90519	5	5	1	1	113.90	153.07
2009:001:12:14:33.339	2009:001:14:19:33.339	10415	90519	5	5	1	1	113.90	153.02
2009:001:14:19:33.339	2009:001:16:12:23.334	10415	90519	5	5	1	1	113.90	153.10
2009:001:16:12:23.334	2009:001:16:15:23.334	10415	75620	5	5	1	0	112.30	153.18
2009:001:16:15:23.334	2009:001:16:15:27.334	09965	75620	5	5	1	0	112.30	153.18
2009:001:16:15:27.334	2009:001:16:15:31.334	09965	75620	5	5	1	0	112.30	153.18
2009:001:16:15:31.334	2009:001:16:15:55.334	09965	75620	0	0	1	0	40.00	153.18
2009:001:16:15:55.334	2009:001:16:17:02.334	09965	75620	6	6	1	0	118.00	153.18
2009:001:16:17:02.334	2009:001:16:17:03.334	09965	75620	6	6	1	1	129.00	153.18
2009:001:16:17:03.334	2009:001:16:21:43.334	09965	75620	6	6	1	1	129.00	152.24
2009:001:16:21:43.334	2009:001:16:26:23.334	09965	75620	6	6	1	1	129.00	148.90
2009:001:16:26:23.334	2009:001:16:30:51.286	09965	75620	6	6	1	1	129.00	145.66
2009:001:16:30:51.286	2009:001:16:58:34.334	09965	75620	6	6	1	1	129.00	144.81
2009:001:16:58:34.334	2009:001:17:01:34.334	09965	92905	6	6	1	0	118.00	144.82
2009:001:17:01:34.334	2009:001:17:01:38.334	10848	92905	6	6	1	0	118.00	144.82
2009:001:17:01:38.334	2009:001:17:01:42.334	10848	92905	6	6	1	0	118.00	144.82
2009:001:17:01:42.334	2009:001:17:02:06.334	10848	92905	0	0	1	0	40.00	144.82
2009:001:17:02:06.334	2009:001:17:03:13.334	10848	92905	5	5	1	0	112.30	144.82
2009:001:17:03:13.334	2009:001:17:03:34.334	10848	92905	5	5	1	1	113.90	144.82
2009:001:17:03:34.334	2009:001:17:08:34.334	10848	92905	5	5	1	1	113.90	141.14
2009:001:17:08:34.334	2009:001:17:13:34.334	10848	92905	5	5	1	1	113.90	128.06
2009:001:17:13:34.334	2009:001:17:18:34.334	10848	92905	5	5	1	1	113.90	109.54
2009:001:17:18:34.334	2009:001:17:22:42.749	10848	92905	5	5	1	1	113.90	98.08
2009:001:17:22:42.749	2009:001:19:07:42.749	10848	92905	5	5	1	1	113.90	95.63
2009:001:19:07:42.749	2009:001:20:52:42.749	10848	92905	5	5	1	1	113.90	95.67
2009:001:20:52:42.749	2009:001:22:27:12.744	10848	92905	5	5	1	1	113.90	95.70
2009:001:22:27:12.744	2009:001:22:30:12.744	10848	92905	5	5	1	0	112.30	95.74
2009:001:22:30:12.744	2009:001:22:30:16.744	10261	92905	5	5	1	0	112.30	95.74
2009:001:22:30:16.744	2009:001:22:30:20.744	10261	92905	5	5	1	0	112.30	95.74
2009:001:22:30:20.744	2009:001:22:30:44.744	10261	92905	0	0	1	0	40.00	95.74
2009:001:22:30:44.744	2009:001:22:31:51.744	10261	92905	6	6	1	0	118.00	95.74
2009:001:22:31:51.744	2009:001:22:32:12.744	10261	92905	6	6	1	1	129.00	95.74
2009:001:22:32:12.744	2009:001:22:37:12.744	10261	92905	6	6	1	1	129.00	94.20
2009:001:22:37:12.744	2009:001:22:42:12.744	10261	92905	6	6	1	1	129.00	88.10
2009:001:22:42:12.744	2009:001:22:47:12.744	10261	92905	6	6	1	1	129.00	77.84
2009:001:22:47:12.744	2009:001:22:52:12.744	10261	92905	6	6	1	1	129.00	66.75
2009:001:22:52:12.744	2009:001:22:57:12.744	10261	92905	6	6	1	1	129.00	56.45
2009:001:22:57:12.744	2009:001:23:01:00.012	10261	92905	6	6	1	1	129.00	51.14
2009:001:23:01:00.012	2009:002:00:28:50.008	10261	92905	6	6	1	1	129.00	50.25
