tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:364:13:30:46.189	2009:364:13:30:50.189	56557	-99616	1	1	1	0	58.30	69.97
2009:364:13:30:50.189	2009:364:13:30:52.445	56557	-99616	0	0	1	0	40.00	69.97
2009:364:13:30:52.445	2009:364:13:31:14.189	56557	-99616	0	0	1	0	40.00	69.97
2009:364:13:31:14.189	2009:364:13:32:21.189	56557	-99616	6	6	1	0	118.00	69.97
2009:364:13:32:21.189	2009:364:13:35:12.189	56557	-99616	6	6	1	1	129.00	69.97
2009:364:13:35:12.189	2009:364:13:35:22.440	56556	-99616	6	6	1	1	129.00	69.97
2009:364:13:35:22.440	2009:364:13:39:12.440	56556	-99616	6	6	1	1	129.00	69.97
2009:364:13:39:12.440	2009:364:13:43:02.440	56556	-99616	6	6	1	1	129.00	67.46
2009:364:13:43:02.440	2009:364:13:46:52.440	56556	-99616	6	6	1	1	129.00	58.57
2009:364:13:46:52.440	2009:364:13:50:15.555	56556	-99616	6	6	1	1	129.00	50.36
2009:364:13:50:15.555	2009:364:14:50:11.396	56556	-99616	6	6	1	1	129.00	48.47
2009:364:14:50:11.396	2009:364:14:53:11.396	56556	-99616	6	6	1	0	118.00	48.47
2009:364:14:53:11.396	2009:364:14:53:21.647	56555	-99616	6	6	1	0	118.00	48.47
2009:364:14:53:21.647	2009:364:14:54:02.189	56555	-99616	6	6	1	0	118.00	48.46
2009:364:14:54:02.189	2009:364:14:54:11.189	56555	-99616	6	6	1	0	118.00	48.46
2009:364:14:54:11.189	2009:364:14:57:21.652	56555	-99616	6	6	0	0	96.60	48.46
2009:364:14:57:21.652	2009:364:17:02:21.652	56555	-99616	6	6	0	0	96.60	47.97
2009:364:17:02:21.652	2009:364:19:07:21.652	56555	-99616	6	6	0	0	96.60	47.94
2009:364:19:07:21.652	2009:364:21:12:21.652	56555	-99616	6	6	0	0	96.60	47.92
2009:364:21:12:21.652	2009:364:23:03:38.583	56555	-99616	6	6	0	0	96.60	47.89
2009:364:23:03:38.583	2009:364:23:03:48.834	56554	-99616	6	6	0	0	96.60	47.89
