tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:309:18:18:37.940	2008:309:18:18:41.940	09220	75620	5	5	1	0	112.30	134.67
2008:309:18:18:41.940	2008:309:18:19:05.940	09220	75620	0	0	1	0	40.00	134.67
2008:309:18:19:05.940	2008:309:18:20:03.940	09220	75620	1	1	1	0	58.30	134.67
2008:309:18:20:03.940	2008:309:18:20:12.940	09220	75620	1	1	1	0	58.30	135.63
2008:309:18:20:12.940	2008:309:18:24:33.940	09220	75620	1	1	1	1	57.00	135.63
2008:309:18:24:33.940	2008:309:18:29:03.940	09220	75620	1	1	1	1	57.00	139.20
2008:309:18:29:03.940	2008:309:18:33:33.940	09220	75620	1	1	1	1	57.00	145.25
2008:309:18:33:33.940	2008:309:18:38:03.940	09220	75620	1	1	1	1	57.00	151.33
2008:309:18:38:03.940	2008:309:18:42:09.997	09220	75620	1	1	1	1	57.00	154.78
2008:309:18:42:09.997	2008:309:20:47:09.997	09220	75620	1	1	1	1	57.00	155.58
2008:309:20:47:09.997	2008:309:22:52:09.997	09220	75620	1	1	1	1	57.00	155.49
2008:309:22:52:09.997	2008:310:00:23:56.858	09220	75620	1	1	1	1	57.00	155.40
2008:310:00:23:56.858	2008:310:00:38:56.858	09220	-99612	1	1	1	0	58.30	155.40
2008:310:00:38:56.858	2008:310:00:41:56.858	57528	-99612	1	1	1	0	58.30	155.33
2008:310:00:41:56.858	2008:310:00:42:00.858	57528	-99612	1	1	1	0	58.30	155.33
2008:310:00:42:00.858	2008:310:00:42:04.858	57528	-99612	1	1	1	0	58.30	155.33
2008:310:00:42:04.858	2008:310:00:42:28.858	57528	-99612	0	0	1	0	40.00	155.33
2008:310:00:42:28.858	2008:310:00:43:26.858	57528	-99612	6	6	1	0	118.00	155.33
2008:310:00:43:26.858	2008:310:00:43:35.858	57528	-99612	6	6	1	0	118.00	155.33
2008:310:00:43:35.858	2008:310:00:47:56.858	57528	-99612	6	6	1	1	129.00	155.33
2008:310:00:47:56.858	2008:310:00:52:26.858	57528	-99612	6	6	1	1	129.00	155.36
2008:310:00:52:26.858	2008:310:00:56:56.858	57528	-99612	6	6	1	1	129.00	155.41
